gene,mean,variance,dispersion=variance/mean
IGLC3,0.5747982619490999,713.7513367325274,1241.7423363672806
IGHA1,0.4099937926753569,505.9873985722769,1234.134290840179
IGLC2,1.0234843782329817,904.4804126884065,883.7266419737326
ELANE,0.016139044072004966,2.0005671745421867,123.95821993028703
TPSAB1,0.010759362714669977,0.7884213766064222,73.2777021757469
CD74,8.115663149182701,574.7259144009118,70.81687643218538
MT-CO3,43.635009310986966,3081.601522123853,70.62222675744746
LYZ,6.206600455203807,407.06459951282403,65.58575865335885
MALAT1,167.0869025450031,10524.867473811526,62.99037993703165
MT-CO2,40.80964204427892,2559.720229811864,62.723417839209155
S100A9,4.204014069935858,245.3529571957466,58.36159278113216
HLA-DRA,4.519863438857852,263.55790256773633,58.31103220993246
MT-CO1,38.964825160355886,2216.222226417807,56.87750983860863
FTL,16.593937512931927,942.8420447691142,56.818464215279946
IGKC,1.5934202358783365,90.10574607148789,56.5486392369174
ACTB,18.92623629215808,1044.1490178436072,55.16939563288879
JCHAIN,0.16904614111318023,8.6714027110926,51.29607013795659
CST3,2.7806745292778814,130.40958307490888,46.89854267438311
MT-ATP6,22.073039519966894,1016.8603801054111,46.0679816744575
HLA-DRB1,3.298261949099938,147.79444556183992,44.80979614192606
HLA-DPA1,2.0805917649493066,90.03933571437042,43.275830093735
S100A8,3.376991516656321,145.3573601193156,43.04344840736795
FTH1,15.184357541899441,632.9898070412099,41.68696668888027
GNLY,6.865507966066625,268.78389823669426,39.149892413668766
EEF1A1,37.52317401200083,1461.0442074303035,38.93711675251741
MT-CYB,23.738361266294227,904.718323571535,38.11207999669852
MT-ND4,23.45892820194496,825.9151866848928,35.20685939165869
HLA-DPB1,1.9328574384440307,66.85820654640497,34.59034547329393
MT-ND3,21.695530726256983,746.7598745010732,34.4199864904576
NEAT1,4.379991723567143,142.97240744872107,32.64216383776219
TMSB4X,31.646803227808814,866.2632098303062,27.372850382218058
TPT1,17.37606041795986,472.84357752748974,27.212358046289918
HLA-DQA1,0.505483136768053,13.490400309719771,26.68813127174607
B2M,54.881440099317196,1451.4843917187893,26.447636743716714
UBE2C,0.013863025036209394,0.34141758272761724,24.62792801973991
AZU1,0.010759362714669977,0.26493699837344037,24.623856021900718
MPO,0.006414235464514794,0.15203831133883725,23.703263183890336
MT-ND1,13.6311814607904,322.4653591876389,23.656449744668052
TOP2A,0.015518311607697082,0.3655775143036257,23.557815021725638
CXCL9,0.004241671839437203,0.09588517395557448,22.605514425721534
RPS12,22.73101593213325,493.73915181290585,21.72094521806838
VIM,4.033002276019036,83.57195036974447,20.722019143574123
RPL10,30.641009724808608,626.4419929386597,20.444561016912527
PPBP,0.35950755224498243,7.292335118554591,20.284233454949256
MKI67,0.012311193875439686,0.22941599088856024,18.634747629653976
RPLP1,23.374818953031244,429.1027344230465,18.357478416636056
PTGDS,0.10914545830746948,1.9919151191274174,18.250096247853666
COTL1,2.1322160148975793,38.035281184870776,17.838380782773456
TUBA1B,0.7840885578315746,13.95576172358726,17.79870600609506
FCER1A,0.11659424787916409,2.053962164560333,17.61632500677922
RP11-1143G9.4,1.0665218290916616,18.651792516438448,17.488430154611894
ACTG1,3.5663149182702254,62.119179819717445,17.418310284793133
SAT1,2.639975170701428,45.44124907863035,17.212756234581118
STMN1,0.15890751086281812,2.687970004481141,16.915311239137182
RPL13,24.004448582660874,401.31189827342706,16.71823024351022
FOS,2.841092489137182,46.26794103696615,16.28526393064288
RPS27,30.85350713842334,498.8932925830755,16.169743372926963
RPS18,21.23732671218705,342.22383328390686,16.114261362637585
RPS3A,16.658493689219945,266.41585843866284,15.992794031015304
RPL34,25.314814814814813,399.7309143925635,15.790394570006166
RPS2,18.431615973515417,288.5877610343983,15.657214291414984
RPL30,15.495034140285536,239.32446323595423,15.445236265322874
TMSB10,14.051313883716118,216.7029327864346,15.42225407387481
CDC20,0.004552038071591144,0.06929440413044177,15.222720689201141
HLA-DQB1,0.5727291537347403,8.515349824635265,14.868022291351965
RPS23,15.00310366232154,221.8398413914888,14.786263321542757
LST1,1.2027726050072418,17.69010611361327,14.70777272442679
RPL39,21.760500724187875,318.4664348413506,14.635069242104313
RP11-354E11.2,0.008897165321746328,0.12820554973953338,14.409707485841041
TYMS,0.023174012000827644,0.331968655215375,14.325040273713459
CCL2,0.013863025036209394,0.19761456182962436,14.254793691381709
RPL28,18.59176494930685,260.2515109135077,13.998214350446085
RPL32,19.608731636664597,273.4206727756947,13.943822468580786
CENPF,0.017897786054210635,0.2470415562810491,13.802911462500697
CTSS,1.644009931719429,22.678257622082203,13.794477262289758
RPL37,14.122180840057935,188.23181299688514,13.32880630327015
PLK1,0.009931719428926133,0.13170355420389226,13.260901613904403
NKG7,6.73205048624043,87.86592290082378,13.051881158706705
S100A4,7.092902958824746,92.30732186457433,13.014039864979223
RPS15A,18.572004965859715,241.06190611874214,12.979853632490302
RPL13A,18.99627560521415,246.4330504781489,12.97270347091128
AL928768.3,0.05700393130560728,0.7384223912529084,12.953885360890405
JUND,3.314194082350507,42.83951919841729,12.926074374025333
RPS27A,18.68394372025657,236.82758618512148,12.675460263154195
AIF1,1.1187668115042417,14.059761607737755,12.567195829516658
RPL41,22.313780260707635,279.89295514890074,12.543502350507799
GAPDH,4.212911235257604,52.419183600024816,12.442508439611018
FCER1G,1.1417339126836334,14.201306076931868,12.438367573362035
APOC1,0.0039313056072832605,0.04819476623080111,12.259226589129566
PF4,0.2835712807779847,3.464073155326665,12.215881473691185
RPS19,17.96668735774881,218.78246154864422,12.177117416933626
